gpu_name,model_name,quantization,avg_tps,avg_ttft_ms,avg_power_w,perplexity,context_length
NVIDIA GeForce RTX 3080,DeepSeek-Coder-7B,Q5_K_M,16.1,64.0,161.0,12.151,5759
NVIDIA GeForce RTX 3080,DeepSeek-Coder-7B,Q6_K,13.6,76.0,162.0,12.086,4335
NVIDIA GeForce RTX 3080,DeepSeek-Coder-7B,Q8_0,18.2,56.6,171.0,12.052,1900
NVIDIA GeForce RTX 3080,Gemma-2-9B-It,Q2_K,88.8,14.1,332.0,8.867,6673
NVIDIA GeForce RTX 3080,Gemma-2-9B-It,Q3_K_M,52.4,21.8,322.0,7.986,5084
NVIDIA GeForce RTX 3080,Gemma-2-9B-It,Q4_K_M,18.1,58.4,179.0,7.773,3261
NVIDIA GeForce RTX 3080,Gemma-2-9B-It,Q5_K_M,18.7,56.8,185.0,7.666,1789
NVIDIA GeForce RTX 4090,DeepSeek-Coder-7B,F16,61.4,17.4,280.0,12.062,16384
NVIDIA GeForce RTX 4090,DeepSeek-Coder-7B,Q2_K,205.4,6.2,372.0,15.331,16384
NVIDIA GeForce RTX 4090,DeepSeek-Coder-7B,Q3_K_M,177.1,6.9,365.0,12.593,16384
NVIDIA GeForce RTX 4090,DeepSeek-Coder-7B,Q4_K_M,156.6,7.6,323.0,12.261,16384
NVIDIA GeForce RTX 4090,DeepSeek-Coder-7B,Q5_K_M,140.3,8.4,327.0,12.151,16384
NVIDIA GeForce RTX 4090,DeepSeek-Coder-7B,Q6_K,125.7,9.2,355.0,12.086,16384
NVIDIA GeForce RTX 4090,DeepSeek-Coder-7B,Q8_0,103.6,10.9,296.0,12.052,16384
NVIDIA GeForce RTX 4090,Gemma-2-9B-It,F16,46.5,24.0,287.0,7.664,8192
NVIDIA GeForce RTX 4090,Gemma-2-9B-It,Q2_K,151.4,9.2,365.0,8.867,8192
NVIDIA GeForce RTX 4090,Gemma-2-9B-It,Q3_K_M,129.6,9.6,364.0,7.986,8192
NVIDIA GeForce RTX 4090,Gemma-2-9B-It,Q4_K_M,117.4,10.3,322.0,7.773,8192
NVIDIA GeForce RTX 4090,Gemma-2-9B-It,Q5_K_M,106.1,11.2,328.0,7.666,8192
NVIDIA GeForce RTX 4090,Gemma-2-9B-It,Q6_K,95.5,13.0,354.0,7.68,8192
NVIDIA GeForce RTX 4090,Gemma-2-9B-It,Q8_0,78.4,15.4,292.0,7.667,8192
