model,quant,perplexity,dataset,num_samples,sequence_length,platform,framework
DeepSeek-Coder-V2-Lite-Instruct,Q8,5.346,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
DeepSeek-Coder-V2-Lite-Instruct,Q6,5.357,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
DeepSeek-Coder-V2-Lite-Instruct,Q4,5.634,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
DeepSeek-Coder-V2-Lite-Instruct,Q3,6.299,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
DeepSeek-Coder-V2-Lite-Instruct,Q2,23.045,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
DeepSeek-V3.2,Q4,3.12,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Gemma-2-9B-It,Q8,8.944,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Gemma-2-9B-It,Q6,8.926,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Gemma-2-9B-It,Q4,9.143,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Gemma-2-9B-It,Q3,11.911,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Gemma-2-9B-It,Q2,337.031,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Llama-3.1-405B-Instruct,Q6,4.675,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Llama-3.1-405B-Instruct,Q5,4.699,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Llama-3.1-405B-Instruct,Q4,4.765,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Llama-3.1-405B-Instruct,Q3,4.989,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Llama-3.1-405B-Instruct,Q2,13.51,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Meta-Llama-3.1-8B-Instruct,Q8,5.471,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Meta-Llama-3.1-8B-Instruct,Q6,5.485,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Meta-Llama-3.1-8B-Instruct,Q5,5.467,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Meta-Llama-3.1-8B-Instruct,Q4,5.572,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Meta-Llama-3.1-8B-Instruct,Q3,7.077,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Meta-Llama-3.1-8B-Instruct,Q2,2132.152,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mistral-7B-Instruct-v0.3,Q8,4.374,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mistral-7B-Instruct-v0.3,Q6,4.39,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mistral-7B-Instruct-v0.3,Q4,4.494,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mistral-7B-Instruct-v0.3,Q3,4.819,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mistral-7B-Instruct-v0.3,Q2,13.451,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mixtral-8x7B-Instruct,Q8,4.428,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mixtral-8x7B-Instruct,Q6,4.422,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mixtral-8x7B-Instruct,Q4,4.639,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mixtral-8x7B-Instruct,Q3,5.069,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Mixtral-8x7B-Instruct,Q2,18.302,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-14B-Instruct,Q8,4.413,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-14B-Instruct,Q6,4.427,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-14B-Instruct,Q4,4.625,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-14B-Instruct,Q3,5.423,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-14B-Instruct,Q2,158.825,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-32B,Q8,4.08,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-32B,Q6,4.089,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-32B,Q4,4.241,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-32B,Q3,4.919,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
Qwen2.5-32B,Q2,35.494,allenai/tulu-3-sft-mixture,256,512,Apple M3 Ultra,MLX 0.30.7
